id,description,year,dateBegan,daterestoration,respondent,geographicAreas,NERCRegion,tags,beginTime,restorationTime,numCustomersAffected,demandLoss
1089,Severe Weather,2008,8/3/2008,8/3/2008,Entergy Corporation,"Mississippi, Louisiana, Texas",SERC,"severe weather, thunderstorm",01:30:00,04:15:00,59500.0,
1090,Severe Weather,2008,8/2/2008,8/3/2008,Southern Company,Georgia and Alabama,SERC,"severe weather, thunderstorm",20:00:00,05:30:00,131115.0,400.0
1091,Severe Weather,2008,7/24/2008,7/24/2008,ISO New England,"Bangor Hydro System, northern Maine",NPCC,"severe weather, thunderstorm, islanding",07:23:00,17:41:00,110000.0,180.0
1092,Hurricane Dolly,2008,7/23/2008,7/31/2008,American Electric Power,"Port Isabel, Harlingen, Weslaco, Pharr, San Benito, Mission, McAllen, Edinburg, Texas",TRE,"severe weather, hurricane/tropical storm",05:56:00,04:00:00,211266.0,703.0
1093,Severe Weather,2008,7/22/2008,7/24/2008,Duke Energy Indiana,Indiana,RFC,"severe weather, thunderstorm",03:00:00,19:32:00,58000.0,
1094,Public Appeal,2008,7/22/2008,7/24/2008,Southwestern Public Service Company,Texas Panhandle and Southeastern New Mexico,SPP,"load shedding, public appeal",14:00:00,05:09:00,,
1095,Severe Weather,2008,7/22/2008,7/23/2008,Duke Energy Ohio,Southwest Ohio,RFC,"severe weather, thunderstorm",03:00:00,03:30:00,56000.0,
1096,Severe Weather,2008,7/21/2008,7/22/2008,MidAmercian Energy Company,"Sioux City, Carroll, Des Moines, Iowa City, and Davenport Iowa, Rock Island, Moline, and Surrounding Area of Illinois",MRO,"severe weather, storm",00:49:00,18:00:00,185000.0,170.0
1097,Unit Tripped,2008,7/10/2008,7/10/2008,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,generator trip,14:22:00,17:21:00,,240.0
1098,Fire,2008,7/7/2008,7/10/2008,California ISO,ISO Balancing Area,WECC,"severe weather, heat, public appeal",12:15:00,17:00:00,0.0,0.0
1099,Fuel Supply,2008,7/2/2008,Ongoing,"State of California, Department of Water Resources",Restricted Hydroelectric Capability,WECC,fuel supply emergency,16:00:00,,,
1100,Thunderstorm,2008,7/2/2008,7/3/2008,Detroit Edison Company-DTE,Southeastern Michigan (DTE Service Territory),RFC,"severe weather, thunderstorm",20:00:00,03:00:00,56000.0,
1101,Severe Weather,2008,7/2/2008,7/6/2008,Consumers Energy,Lower 2/3 of Michigan's Lower Peninsula,RFC,severe weather,15:00:00,12:00:00,239663.0,125.0
1102,Fire,2008,7/2/2008,7/2/2008,California ISO,"Santa Barbara County, California, near Goleta",WECC,wild fire,19:16:00,23:28:00,200000.0,208.0
1103,Fire,2008,7/2/2008,7/3/2008,Southern California Edison,Goleta and Santa Barbara Areas of Southern California,WECC,wild fire,19:36:00,01:10:00,37784.0,119.0
1104,Unit Tripped,2008,7/1/2008,7/1/2008,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,generator trip,07:31:00,12:00:00,,160.0
1105,Severe Weather,2008,6/27/2008,6/27/2008,Omaha Public Power District,"Omaha, Nebraska (Metro Area)",MRO,"severe weather, wind",16:30:00,17:30:00,126000.0,650.0
1106,Thunderstorm,2008,6/26/2008,6/26/2008,Detroit Edison Company-DTE,Southeastern Michigan (DTE Service Territory),RFC,"severe weather, thunderstorm",17:00:00,21:30:00,53000.0,
1107,Firm Load,2008,6/23/2008,6/23/2008,Progress Energy Florida,"Pinellas County, Florida",FRCC,"load shedding, equipment failure",16:52:00,23:28:00,32593.0,113.0
1108,Fire,2008,6/23/2008,6/23/2008,Northern Indiana Public Service Company,Northcentral Indiana,RFC,equipment failure,13:44:00,13:45:00,,425.0
1109,Lightning,2008,6/22/2008,6/22/2008,Northern Indiana Public Service Company,Northwest Indiana,RFC,"severe weather, thunderstorm",16:55:00,17:05:00,,650.0
1110,Severe Weather,2008,6/21/2008,6/21/2008,Pacific Gas and Electric Company,"Near Rogers Flat, California",WECC,"severe weather, thunderstorm, islanding",15:09:00,18:53:00,477.0,3.0
1111,Severe Weather,2008,6/17/2008,6/19/2008,Oncor Electric Delivery Company LLC,"North, Central and East Texas",TRE,"severe weather, thunderstorm",09:01:00,20:30:00,234393.0,
1112,Thunderstorm,2008,6/17/2008,6/17/2008,"Golden Spread Electric Cooperative, Inc","Texas Panhandle and Texas South Plains Regions, and Oklahoma Panhandle",TRE,"severe weather, thunderstorm, uncontrolled loss",20:40:00,23:00:00,37330.0,276.0
1113,Severe Weather,2008,6/17/2008,6/18/2008,Southwestern Public Service Company,Southwestern Public Service Company Operating in the Panhandle of Texas and New Mexico,SPP,"severe weather, thunderstorm, islanding",20:35:00,01:55:00,18000.0,560.0
1114,Thunderstorm,2008,6/16/2008,6/16/2008,Dominion-Virginia Power,Northern Virginia,SERC,"severe weather, thunderstorm",16:15:00,23:19:00,115000.0,1000.0
1115,Electrical System Separation,2008,6/15/2008,6/15/2008,Crawfordsville Electric Light and Power,"City of Crawfordsville, Indiana",RFC,islanding,19:06:00,20:42:00,9700.0,57.0
1116,Severe Weather,2008,6/15/2008,6/15/2008,Exelon Corporation-ComEd,The Entire ComEd Territory,RFC,severe weather,08:00:00,20:00:00,165000.0,
1117,Uncontrolled Loss,2008,6/12/2008,6/18/2008,"Midwest ISO, ITC, ALTW",East Central Iowa,RFC,"severe weather, flooding, uncontrolled loss",15:30:00,16:00:00,21000.0,200.0
1118,Uncontrolled Loss,2008,6/11/2008,6/11/2008,New York Independent System Operator,New York State,NPCC,uncontrolled loss,13:15:00,14:05:00,61000.0,200.0
1119,Severe Weather,2008,6/10/2008,6/11/2008,ISO New England,All Six New England States,NPCC,"severe weather, storm",23:00:00,09:00:00,60000.0,50.0
1120,Serve Load,2008,6/10/2008,6/10/2008,"Entergy Services, Inc.",Entergy System,SERC,load shedding,14:00:00,18:00:00,19.0,300.0
1121,Severe Weather,2008,6/10/2008,6/13/2008,National Grid,Upstate New York,NPCC,"severe weather, storm",11:00:00,17:30:00,68000.0,400.0
1122,Severe Weather,2008,6/10/2008,6/14/2008,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks County, Pennsylvania",RFC,"severe weather, thunderstorm",19:00:00,15:59:00,198000.0,
1123,Severe Weather,2008,6/10/2008,6/14/2008,Public Service Electric and Gas,"Bergen, Essex and Hudson Counties, New Jersey",RFC,"severe weather, storm",18:00:00,11:30:00,248800.0,
1124,Fire,2008,6/9/2008,6/9/2008,Public Service Electric and Gas,"Area Around West Orange Switching Station, New Jersey",RFC,equipment failure,14:52:00,20:25:00,75654.0,215.0
1125,Serve Load,2008,6/9/2008,6/9/2008,"Entergy Services, Inc.",Entergy System,SERC,load shedding,14:00:00,19:00:00,19.0,300.0
1126,Severe Weather,2008,6/8/2008,6/9/2008,Exelon Corporation-ComEd,The Entire ComEd Territory,RFC,severe weather,09:30:00,07:00:00,125000.0,
1127,Severe Weather,2008,6/8/2008,6/16/2008,Detroit Edison Company-DTE,Southwestern Michigan (DECO Service Territory),RFC,"severe weather, storm",18:00:00,23:30:00,150000.0,500.0
1128,Severe Weather,2008,6/6/2008,6/12/2008,Consumers Energy,Lower 2/3 of Michigan's Lower Peninsula,RFC,"severe weather, thunderstorm",15:18:00,08:00:00,358000.0,100.0
1129,Thunderstorm,2008,6/4/2008,6/5/2008,Dominion-Virginia Power,Northern Virginia,SERC,"severe weather, thunderstorm",15:04:00,21:30:00,253800.0,850.0
1130,Severe Weather,2008,6/4/2008,6/7/2008,Baltimore Gas and Electric Company,Entire BGE Service Territory,RFC,"severe weather, storm",15:00:00,05:30:00,108000.0,
1131,Firm Load,2008,6/4/2008,6/4/2008,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,"load shedding, voltage reduction",15:14:00,15:46:00,100948.0,90.0
1132,Severe Weather,2008,6/4/2008,6/5/2008,Potomac Electric Power Company,"Montgomery, Prince Georges,  Maryland, Washington, D.C.",RFC,"severe weather, thunderstorm",15:00:00,01:00:00,249408.0,
1133,Severe Weather,2008,6/3/2008,6/7/2008,Allegheny Power,"Maryland, West Virginia, Virginia",RFC,severe weather,17:00:00,23:00:00,157168.0,634.0
1134,Firm Load,2008,5/30/2008,5/30/2008,"Entergy Services, Inc.",South Louisiana,SERC,load shedding,14:05:00,20:00:00,,250.0
1135,Severe Weather,2008,5/30/2008,6/4/2008,Indianapolis Power and Light,"Northeastern Marion County, Indiana",RFC,"severe weather, thunderstorm",22:00:00,23:59:00,70000.0,
1136,Severe Weather,2008,5/30/2008,5/30/2008,Exelon Corporation-ComEd,Northern and Western Counties of Illinois,RFC,"severe weather, storm",09:30:00,23:00:00,109000.0,
1137,Severe Weather,2008,5/27/2008,5/27/2008,ISO New England,South West Connecticut,NPCC,"severe weather, thunderstorm",14:02:00,15:52:00,56400.0,130.0
1138,Severe Weather,2008,5/12/2008,5/14/2008,Atlantic City Electric,"Cape May, Cumberland, Gloucester, Salem, Camden, Atlantic, Burliington  Counties, New Jersey",RFC,"severe weather, storm",00:01:00,00:00:00,135000.0,55.0
1139,Electrical System Separation,2008,5/11/2008,5/11/2008,Crawfordsville Electric Light and Power,"City of Crawfordsville, Indiana",RFC,islanding,16:50:00,20:43:00,9700.0,47.0
1140,Severe Weather,2008,5/11/2008,5/12/2008,Southern Company,Georgia,SERC,"severe weather, thunderstorm",06:00:00,14:30:00,80539.0,100.0
1141,Firm Load,2008,5/8/2008,5/8/2008,California ISO,California,WECC,load shedding,10:21:00,00:56:00,0.0,483.0
1142,Severe Weather,2008,4/9/2008,4/13/2008,Oncor Electrtic Delivery Company LLC,"North, Central and East Texas",TRE,severe weather,16:00:00,01:15:00,488689.0,
1143,Severe Weather,2008,4/4/2008,4/4/2008,Entergy Corporation,"Arkansas, North Louisiana, Mississippi",SERC,"severe weather, thunderstorm",12:31:00,17:00:00,122600.0,
1144,Severe Weather,2008,3/15/2008,3/16/2008,Southern Company,Parts of Alabama and Georgia,SERC,"severe weather, storm",20:55:00,20:30:00,157744.0,200.0
1145,Severe Weather,2008,3/8/2008,3/8/2008,Dominion-Virginia Power,Virginia and Eastern Part of North Carolina,SERC,"severe weather, wind",14:14:00,21:59:00,141130.0,210.0
1146,Severe Weather,2008,3/8/2008,3/10/2008,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks County, Pennsylvania",RFC,severe weather,16:00:00,13:44:00,168449.0,
1147,Thunderstorm,2008,3/4/2008,3/4/2008,Duke Energy Carolinas,North and South Carolina,SERC,"severe weather, thunderstorm",21:30:00,22:45:00,55267.0,300.0
1148,Transmission Equipment,2008,2/26/2008,2/26/2008,Florida Power and Light,Primary Dade County Florida,FRCC,"equipment failure, transmission interruption",13:09:00,16:11:00,584384.0,3200.0
1149,Firm Load,2008,2/26/2008,2/26/2008,Progress Energy Florida,"The entire PEF system was affected, including the following counties: Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osecola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia, Wakulla.",FRCC,load shedding,13:10:00,15:45:00,150000.0,500.0
1150,Thunderstorm,2008,2/26/2008,2/26/2008,Southern Company,Southern Service Area/Alabama and Georgia,SERC,"severe weather, thunderstorm",05:00:00,15:00:00,145380.0,484.0
1151,Firm Load,2008,2/26/2008,2/26/2008,Tampa Electric Company,Tampa Electric Service Territory,FRCC,load shedding,13:09:00,14:40:00,53965.0,318.0
1152,Firm Load,2008,2/26/2008,2/26/2008,Florida Municipal Power Agency,Various Cities in Florida,FRCC,load shedding,13:09:00,14:10:00,47661.0,140.0
1153,Firm Load,2008,2/26/2008,2/26/2008,Seminole Electric Cooperative,FRCC Region-West Coast Florida,FRCC,load shedding,13:09:00,13:47:00,56000.0,120.0
1154,Fuel Supply,2008,2/25/2008,3/12/2008,Owensboro Municpal Utilities,Restricted Coal Capability,RFC,fuel supply emergency,08:00:00,08:00:00,0.0,
1155,Electrical System Separation,2008,2/15/2008,2/15/2008,Pacific Gas and Electric Company,"Antioch, California",WECC,islanding,15:06:00,19:36:00,10008.0,10.0
1156,Firm Load,2008,2/14/2008,2/14/2008,PacifiCorp,Utah,WECC,load shedding,08:15:00,10:46:00,74031.0,2818.0
1157,Severe Weather,2008,2/13/2008,2/14/2008,ISO New England,State of Maine,NPCC,"severe weather, winter storm",18:43:00,12:00:00,50462.0,50.0
1158,Severe Weather,2008,2/12/2008,2/15/2008,Entergy Corporation,"Arkansas, Mississippi, Louisiana",SERC,severe weather,15:00:00,17:00:00,54000.0,
1159,Severe Weather,2008,2/10/2008,2/12/2008,Allegheny Power,"Southwestern Pennsylvania, West Virginia, Virginia, Maryland",RFC,severe weather,04:00:00,20:43:00,100969.0,412.0
1160,Severe Weather,2008,2/10/2008,2/14/2008,American Electric Power,Virginia and West Virginia Area of AEP,RFC,"severe weather, wind",11:00:00,17:05:00,97342.0,
1161,Severe Weather,2008,2/10/2008,2/11/2008,Duke Energy Carolinas,"Greenboro, North Carolina and I-40 Corridor",SERC,"severe weather, wind",18:02:00,04:00:00,50718.0,300.0
1162,Severe Weather,2008,2/10/2008,2/10/2008,Dominion-Virginia Power,Dominion Service Territory,SERC,"severe weather, wind",14:06:00,23:36:00,114618.0,170.0
1163,Severe Weather,2008,2/10/2008,2/10/2008,PJM Interconnection LLC,"Virginia, West Virginia, Ohio, Pennsylvania",RFC,"severe weather, wind",11:00:00,23:36:00,212560.0,
1164,Electrical System Separation,2008,2/9/2008,2/9/2008,Pacific Gas and Electric Company,"Near Arnold, California",WECC,islanding,11:59:00,15:33:00,0.0,0.0
1165,Severe Weather,2008,2/6/2008,2/6/2008,Tennessee Valley Authority,Mid to West Tennessee,SERC,severe weather,09:00:00,11:00:00,57000.0,
1166,Severe Weather,2008,2/5/2008,2/6/2008,LG&E Energy/Kentucky Utilities,State of Kentucky,SERC,severe weather,22:00:00,03:00:00,76000.0,
1167,Fault On Line,2008,2/2/2008,2/2/2008,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,equipment failure,03:58:00,16:27:00,,
1168,Fault On Line,2008,2/1/2008,2/1/2008,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,equipment failure,06:00:00,07:49:00,,
1169,Severe Weather,2008,1/30/2008,2/1/2008,Niagara Mohawk Power Corporation,"Western, New York",NPCC,"severe weather, wind",03:06:00,14:50:00,54316.0,50.0
1170,Severe Weather,2008,1/29/2008,2/3/2008,Entergy Corporation,"Arkansas, Mississippi, North Louisiana",SERC,"severe weather, thunderstorm",16:00:00,08:00:00,110000.0,
1171,Severe Weather,2008,1/29/2008,2/1/2008,DTE Energy - Detroit Edison,Southeastern Michigan,RFC,"severe weather, winter storm",22:00:00,18:30:00,86915.0,
1172,Severe Weather,2008,1/29/2008,1/30/2008,Dayton Power and Light,"South Metropolitan Areas of Dayton, OHio",RFC,"severe weather, wind",23:23:00,00:48:00,45000.0,380.0
1173,Fault On Line,2008,1/29/2008,1/29/2008,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,equipment failure,05:00:00,12:17:00,,
1174,Severe Weather,2008,1/4/2008,1/14/2008,Pacific Gas and Electric Company,Northern California,WECC,"severe weather, winter storm",04:00:00,17:00:00,2606931.0,500.0
1175,Severe Weather,2008,1/4/2008,1/4/2008,Sacramento Municipal Utility District,Sacramento County,WECC,"severe weather, storm",07:47:00,16:30:00,150000.0,300.0
1176,Severe Weather,2007,12/23/2007,12/23/2007,Exelon Corporation West ComEd,The Entire ComEd Service Territory,RFC,"severe weather, storm",01:00:00,21:00:00,237000.0,
1177,Severe Weather,2007,12/23/2007,12/25/2007,Consumers Energy,Lower 2/3 of Michigan Lower Peninsula,RFC,"severe weather, winter storm",05:30:00,18:07:00,134288.0,50.0
1178,Voltage Reduction,2007,12/11/2007,12/11/2007,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,voltage reduction,20:57:00,21:22:00,0.0,0.0
1179,Severe Weather,2007,12/11/2007,12/20/2007,Westar Energy,Eastern half of the State of Kansas,MRO,"severe weather, winter storm",04:00:00,15:30:00,95000.0,500.0
1180,Severe Weather,2007,12/10/2007,12/19/2007,American Electric Power,"Tulsa, Oklahoma",SPP,"severe weather, winter storm",03:08:00,08:00:00,256663.0,
1181,Voltage Reduction,2007,12/4/2007,12/4/2007,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,voltage reduction,14:16:00,17:53:00,0.0,0.0
1182,Public Appeal,2007,12/1/2007,12/2/2007,ISO New England,State of Maine,NPCC,"fuel supply emergency, public appeal, voltage reduction",18:04:00,22:00:00,0.0,0.0
1183,Severe Weather,2007,11/3/2007,11/4/2007,ISO New England,"Eastern Massachusetts, Rhode Island, Cape Cod",NPCC,"severe weather, hurricane/tropical storm",18:00:00,06:00:00,62843.0,100.0
1184,Fire,2007,10/26/2007,10/26/2007,Southern California Edison Company,Southern Califonia,WECC,"wild fire, load shedding",06:44:00,10:46:00,20345.0,280.0
1185,Firm Load,2007,10/26/2007,10/26/2007,City of Riverside,"Riverside, California",WECC,load shedding,06:44:00,10:43:00,104000.0,240.0
1186,Fire,2007,10/22/2007,10/22/2007,San Diego Gas and Electric Company,"San Diego County, California",WECC,"wild fire, load shedding",14:06:00,14:43:00,68780.0,199.0
1187,Fire,2007,10/22/2007,10/22/2007,California Independent System Operator,Southern California,WECC,"wild fire, load shedding",14:05:00,14:22:00,300000.0,700.0
1188,Fire,2007,10/22/2007,10/22/2007,Southern California Edison Company,Southern California,WECC,"wild fire, load shedding",14:01:00,14:22:00,90323.0,451.0
1189,Severe Weather,2007,10/18/2007,10/22/2007,Puget Sound Energy,Western Washington,WECC,"severe weather, wind",15:00:00,11:36:00,160000.0,
1190,Unit Tripped,2007,9/24/2007,9/24/2007,"New Covert Generating Company, LLC",Southwest Michigan,RFC,generator trip,13:38:00,16:26:00,,320.0
1191,Severe Weather,2007,9/18/2007,9/18/2007,Great River Energy,"Minnesota, North Dakota, Manitoba",MRO,"severe weather, storm, islanding, load shedding",05:15:00,06:30:00,11175.0,10000.0
1192,Severe Weather,2007,9/18/2007,9/18/2007,Northern States Power Company,"Minnesota, Wisconsin, North Dakota, South Dakota and Michigan",MRO,"severe weather, storm, islanding, load shedding",05:14:00,06:10:00,6000.0,16.0
1193,Severe Weather,2007,9/18/2007,9/18/2007,Midwest ISO,"Manitoba, Minnesota, North Dakota, Portions of South Dakota and Wisconsin.  Midwest ISO's Market subregions: OTP, NSP, GRE, ALTW, MP",RFC,"severe weather, storm, islanding, load shedding",05:15:00,00:00:00,11175.0,10000.0
1194,Electrical System Separation,2007,9/17/2007,9/17/2007,Crawfordsville Electric Light and Power,"City of Crawfordsville, Indiana",RFC,islanding,19:01:00,19:48:00,9600.0,50.0
1195,Hurricane Humberto,2007,9/13/2007,9/14/2007,Entergy Corporation,"Between Galveston and Beaumont, Texas",SPP,"severe weather, hurricane/tropical storm",04:00:00,07:00:00,118000.0,
1196,Fuel Supply,2007,9/6/2007,Ongoing,"State of California, Department of Water Resources",Hydro Electric System,WECC,fuel supply emergency,20:00:00,,,
1197,Severe Weather,2007,9/5/2007,9/5/2007,"Luminant Energy Company, LLC","Central Texas, ERCOT Grid",ERCOT,"severe weather, transmission interruption",07:53:00,13:11:00,,1084.0
1198,Public Appeal,2007,9/4/2007,9/4/2007,San Diego Gas and Electric Company,"San Diego County, Southern Orange County, California",WECC,"severe weather, heat, public appeal",08:30:00,15:30:00,,
1199,Public Appeal,2007,9/3/2007,9/3/2007,San Diego Gas and Electric Company,"San Diego County, Southern Orange County, California",WECC,"severe weather, heat, public appeal",12:30:00,17:30:00,,
1200,Heat Wave,2007,8/31/2007,8/31/2007,California Independent System Operator,CAISO Controlled Grid,WECC,"severe weather, heat",12:45:00,20:00:00,,
1201,Public Appeal,2007,8/29/2007,8/30/2007,California Independent System Operator,CAISO Controlled Grid,WECC,public appeal,16:00:00,18:00:00,,
1202,Firm Load,2007,8/29/2007,8/29/2007,Modesto Irrigation District,Modesto California and the Surrounding Areas,WECC,load shedding,13:53:00,14:57:00,26000.0,180.0
